seed,scenario,depth,step,actor_loss,critic_loss,ppo_updates
42,Mild,0.12,2100,-0.00926,18.0731,18
42,Mild,0.12,2400,-0.01155,13.4335,19
42,Mild,0.12,2700,-0.01143,14.5101,20
42,Mild,0.12,3000,-0.00988,5.1877,21
42,Mild,0.12,3300,-0.01477,4.2733,22
42,Moderate,0.28,300,-0.00955,1.811,23
42,Moderate,0.28,600,-0.00945,1.1046,24
42,Moderate,0.28,900,-0.01018,0.4382,25
42,Moderate,0.28,1200,-0.01206,0.8285,26
42,Moderate,0.28,1500,-0.01285,7.4752,27
42,Moderate,0.28,1800,-0.01303,31.8467,28
42,Moderate,0.28,2100,-0.01504,1.8971,29
42,Moderate,0.28,2400,-0.01305,4.3749,30
42,Moderate,0.28,2700,-0.00906,1.1709,31
42,Moderate,0.28,3000,-0.00993,4.8275,32
42,Moderate,0.28,3300,-0.00928,13.8166,33
42,Severe,0.55,300,-0.00979,1.7332,34
42,Severe,0.55,600,-0.0094,0.931,35
42,Severe,0.55,900,-0.01049,1.0058,36
42,Severe,0.55,1200,-0.01039,12.0563,37
42,Severe,0.55,1500,-0.01006,2.8186,38
42,Severe,0.55,1800,-0.01276,0.5282,39
42,Severe,0.55,2100,-0.01155,12.6539,40
42,Severe,0.55,2400,-0.01272,4.1957,41
42,Severe,0.55,2700,-0.01001,2.1431,42
42,Severe,0.55,3000,-0.00912,1.6384,43
42,Severe,0.55,3300,-0.0092,2.3252,44
84,Baseline,0.0,300,-0.00969,0.3465,1
84,Baseline,0.0,600,-0.0119,5.3114,2
84,Baseline,0.0,900,-0.01058,6.3208,3
84,Baseline,0.0,1200,-0.00979,3.6668,4
84,Baseline,0.0,1500,-0.01404,1.0648,5
84,Baseline,0.0,1800,-0.01351,3.0185,6
84,Baseline,0.0,2100,-0.00885,1.1953,7
84,Baseline,0.0,2400,-0.01073,1.3149,8
84,Baseline,0.0,2700,-0.01368,3.9646,9
84,Baseline,0.0,3000,-0.01296,2.3221,10
84,Baseline,0.0,3300,-0.01107,0.6976,11
84,Mild,0.12,300,-0.0139,0.6564,12
84,Mild,0.12,600,-0.00929,1.2169,13
84,Mild,0.12,900,-0.01317,2.4045,14
84,Mild,0.12,1200,-0.0109,1.8633,15
84,Mild,0.12,1500,-0.01261,0.7762,16
84,Mild,0.12,1800,-0.01089,3.6038,17
84,Mild,0.12,2100,-0.01468,0.3918,18
84,Mild,0.12,2400,-0.01332,0.0421,19
84,Mild,0.12,2700,-0.01105,0.4205,20
84,Mild,0.12,3000,-0.01178,0.6159,21
84,Mild,0.12,3300,-0.011,1.4743,22
84,Moderate,0.28,300,-0.01334,0.1652,23
84,Moderate,0.28,600,-0.01169,1.9938,24
84,Moderate,0.28,900,-0.00903,1.3001,25
84,Moderate,0.28,1200,-0.0111,0.8546,26
84,Moderate,0.28,1500,-0.01392,0.5349,27
84,Moderate,0.28,1800,-0.00966,5.6611,28
84,Moderate,0.28,2100,-0.01396,0.854,29
84,Moderate,0.28,2400,-0.01213,0.7698,30
84,Moderate,0.28,2700,-0.01139,1.0355,31
84,Moderate,0.28,3000,-0.01019,3.7358,32
84,Moderate,0.28,3300,-0.01304,1.1109,33
84,Severe,0.55,300,-0.01125,0.3853,34
84,Severe,0.55,600,-0.012,0.1601,35
84,Severe,0.55,900,-0.01705,1.3813,36
84,Severe,0.55,1200,-0.00976,0.1331,37
84,Severe,0.55,1500,-0.01108,0.245,38
84,Severe,0.55,1800,-0.0232,5.594,39
84,Severe,0.55,2100,-0.01029,1.6411,40
84,Severe,0.55,2400,-0.01562,1.4994,41
84,Severe,0.55,2700,-0.01376,1.357,42
84,Severe,0.55,3000,-0.01045,0.9964,43
84,Severe,0.55,3300,-0.0157,2.1503,44
