seed,scenario,depth,step,arrived_cum,arrivals_step,queue,avg_wait_step,reward,cum_reward,AI_step,phase,green_duration,active_vehicles
1,Mild,0.12,1200,258,0,8,3.3333333333333335,-0.40836037718263846,10.846401863731819,0.2882,2,58,15
1,Mild,0.12,1260,273,0,10,5.266666666666667,-0.6245894916615674,-12.895617246297624,0.2934,3,66,15
1,Mild,0.12,1320,293,3,2,0.5384615384615384,3.257951594777359,-13.949232046812405,0.349,4,69,13
1,Mild,0.12,1380,317,0,2,6.5,0.21799090120054343,9.159172165994262,0.3381,4,69,8
1,Mild,0.12,1440,325,1,5,5.777777777777778,0.8771008550674613,18.543111327255207,0.3526,5,66,9
1,Mild,0.12,1500,340,0,1,1.125,0.3532270644277564,45.11281121494725,0.4016,0,69,8
1,Mild,0.12,1560,356,0,12,27.571428571428573,-1.0441197967018043,41.741633538781876,0.2446,1,66,14
1,Mild,0.12,1620,372,0,5,28.2,-0.32589865460152784,43.450601111371206,0.2597,2,71,5
1,Mild,0.12,1680,388,0,4,7.25,0.01316694692621273,66.8429616075469,0.4186,3,56,8
1,Mild,0.12,1740,402,0,0,0.0,0.5004137964274521,98.01626796533327,0.4838,4,62,2
1,Mild,0.12,1800,409,0,1,10.666666666666666,0.2523809839875622,127.85054719081327,0.4211,5,66,3
1,Mild,0.12,1860,418,0,2,4.428571428571429,0.23255403713930037,147.07562242153983,0.4735,0,65,7
1,Mild,0.12,1920,431,0,6,11.909090909090908,-0.25188402941456817,162.37038657173298,0.4393,1,68,11
1,Mild,0.12,1980,439,0,5,4.083333333333333,-0.1017849632888464,141.65806921395827,0.5011,2,39,12
1,Mild,0.12,2040,452,0,11,46.81818181818182,-1.1967717669019593,118.39734478378536,0.2318,3,65,11
1,Mild,0.12,2100,471,0,3,4.5,0.13499589286797414,131.429617754534,0.5368,4,52,6
1,Mild,0.12,2160,480,0,2,32.5,-0.08060985431461282,152.38581559151106,0.361,5,47,2
1,Mild,0.12,2220,484,0,5,39.4,-0.5185146553240099,151.64029753082738,0.3198,0,68,5
1,Mild,0.12,2280,510,0,5,46.666666666666664,-0.5708228040795604,160.13149277615295,0.3026,1,54,6
1,Mild,0.12,2340,515,0,8,75.55555555555556,-1.2891457995378226,109.93656248665177,0.116,2,77,9
1,Mild,0.12,2400,541,1,4,7.75,0.9901769649869019,132.80554769876215,0.5994,3,62,12
1,Mild,0.12,2460,560,2,5,9.777777777777779,1.8832601668472928,156.71993586174685,0.6087,4,71,9
1,Mild,0.12,2520,575,1,2,14.4,1.129772895572871,179.49895741608893,0.5959,5,61,5
1,Mild,0.12,2580,585,0,2,5.75,0.18966084289224094,191.07042859231265,0.6656,0,56,4
1,Mild,0.12,2640,593,0,7,8.333333333333334,-0.31790125452448786,202.03403536875925,0.658,1,49,12
1,Mild,0.12,2700,609,0,11,56.0,-1.3087030062601666,166.25346155008944,0.3595,2,71,12
1,Mild,0.12,2760,629,1,3,7.75,1.1007001123949913,156.98654948091962,0.7053,3,66,4
1,Mild,0.12,2820,643,0,1,2.0,0.36412645775564445,181.0895365351124,0.7604,4,59,6
1,Mild,0.12,2880,653,1,2,8.5,1.1935197957313648,196.49181984032572,0.7291,5,53,8
1,Mild,0.12,2940,662,0,2,47.0,-0.2922448940613433,201.3646999076765,0.4833,0,64,4
1,Mild,0.12,3000,675,0,6,21.285714285714285,-0.36376334246661624,199.60461286918425,0.6704,1,61,7
1,Mild,0.12,3060,694,1,4,3.5,1.0141114519275867,204.3814732631587,0.8118,2,75,10
1,Mild,0.12,3120,709,0,1,1.7272727272727273,0.36097291339293114,223.75949944551402,0.8417,3,49,11
1,Mild,0.12,3180,721,0,8,3.3636363636363638,-0.37085146753726733,234.3823397688473,0.8452,4,71,11
1,Mild,0.12,3240,735,1,2,4.818181818181818,1.2341194341645556,239.77057756781278,0.8524,5,53,11
1,Mild,0.12,3300,749,0,2,43.25,-0.2506424426731364,254.69640472132778,0.613,0,64,4
1,Mild,0.12,3360,760,0,5,8.555555555555555,-0.16808633895862463,249.43771323197555,0.8575,1,67,9
1,Mild,0.12,3420,782,1,2,1.2727272727272727,1.210843375184945,248.62197313232602,0.9326,1,67,11
1,Mild,0.12,3480,800,1,1,0.625,1.3281136435257246,256.4976127627507,0.9585,2,71,8
1,Mild,0.12,3540,816,0,3,10.666666666666666,0.04928159348794742,279.8978929144243,0.9108,3,65,6
1,Moderate,0.28,0,0,0,0,0.0,0.0,0.0,0.0,0,20,0
